Sequence_Name,Label,Probability
ID=sp|P0CI21||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,AVP,0.515
ID=18935|Label=1|Type=AVP|Source=Peptipedia|Length=28|Dataset=TS_AVP,non-AVP,0.425
ID=19498|Label=1|Type=AVP|Source=DBAASP|Length=15|Dataset=TS_AVP,AVP,0.510
ID=sp|P56850||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|C0HLD8||Label=0|Type=non_AVP|Source=UniProt|Length=19|Dataset=TS_non_AVP,AVP,0.910
ID=sp|Q6IM87||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|P0DL79||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,AVP,0.770
ID=sp|A1S239||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|P0DQH8||Label=0|Type=non_AVP|Source=UniProt|Length=12|Dataset=TS_non_AVP,AVP,0.930
ID=4639|Label=1|Type=AVP|Source=Peptipedia|Length=45|Dataset=TS_AVP,AVP,0.525
ID=CAMPSQ12312|Label=1|Type=AVP|Source=CAMP|Length=26|Dataset=TS_AVP,AVP,0.990
ID=14118|Label=1|Type=AVP|Source=Peptipedia|Length=30|Dataset=TS_AVP,AVP,1.000
ID=sp|Q5K3U6||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|P0C022||Label=0|Type=non_AVP|Source=UniProt|Length=14|Dataset=TS_non_AVP,AVP,1.000
ID=sp|P23918||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.010
ID=HIP900|Label=1|Type=AVP|Source=HIPdb|Length=37|Dataset=TS_AVP,AVP,0.990
ID=sp|A5D5K1||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|A0A023IWM7||Label=0|Type=non_AVP|Source=UniProt|Length=33|Dataset=TS_non_AVP,non-AVP,0.095
ID=sp|P61230||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,AVP,0.695
ID=sp|B0YPP4||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.050
ID=sp|B2J266||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.000
ID=sp|Q250Q1||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.020
ID=HIP991|Label=1|Type=AVP|Source=HIPdb|Length=7|Dataset=TS_AVP,AVP,0.810
ID=sp|P0DM79||Label=0|Type=non_AVP|Source=UniProt|Length=50|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|P0C7Q0||Label=0|Type=non_AVP|Source=UniProt|Length=48|Dataset=TS_non_AVP,AVP,0.790
ID=sp|P86637||Label=0|Type=non_AVP|Source=UniProt|Length=26|Dataset=TS_non_AVP,AVP,0.950
ID=dbAMP_25751|Label=1|Type=AVP|Source=dbAMP_AntiHIV|Length=30|Dataset=TS_AVP,AVP,1.000
ID=sp|P0CC11||Label=0|Type=non_AVP|Source=UniProt|Length=20|Dataset=TS_non_AVP,non-AVP,0.480
ID=sp|Q26350||Label=0|Type=non_AVP|Source=UniProt|Length=29|Dataset=TS_non_AVP,AVP,1.000
ID=DRAVPe00180|Label=1|Type=AVP|Source=DRAVP|Length=17|Dataset=TS_AVP,AVP,0.995
ID=DRAVPe00723|Label=1|Type=AVP|Source=DRAVP|Length=35|Dataset=TS_AVP,AVP,0.990
ID=sp|Q3E7Y7||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|P82397||Label=0|Type=non_AVP|Source=UniProt|Length=23|Dataset=TS_non_AVP,AVP,0.930
ID=sp|P35634||Label=0|Type=non_AVP|Source=UniProt|Length=17|Dataset=TS_non_AVP,AVP,0.620
ID=sp|A5ISL7||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|Q3E7Y8||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|Q55FM1||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|P13948||Label=0|Type=non_AVP|Source=UniProt|Length=21|Dataset=TS_non_AVP,non-AVP,0.430
ID=sp|A6MMS8||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.020
ID=sp|P84659||Label=0|Type=non_AVP|Source=UniProt|Length=12|Dataset=TS_non_AVP,non-AVP,0.490
ID=sp|P0DP00||Label=0|Type=non_AVP|Source=UniProt|Length=22|Dataset=TS_non_AVP,AVP,0.980
ID=sp|P51318||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.035
ID=sp|B2FNP3||Label=0|Type=non_AVP|Source=UniProt|Length=41|Dataset=TS_non_AVP,non-AVP,0.015
ID=DRAVPe00080|Label=1|Type=AVP|Source=DRAVP|Length=14|Dataset=TS_AVP,AVP,1.000
ID=sp|P0DPL6||Label=0|Type=non_AVP|Source=UniProt|Length=12|Dataset=TS_non_AVP,AVP,0.500
ID=DRAVPe00057|Label=1|Type=AVP|Source=DRAVP|Length=15|Dataset=TS_AVP,AVP,0.945
ID=sp|Q8TGN8||Label=0|Type=non_AVP|Source=UniProt|Length=31|Dataset=TS_non_AVP,non-AVP,0.055
ID=sp|P34830||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,non-AVP,0.090
ID=sp|P85490||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,non-AVP,0.465
ID=sp|Q4G385||Label=0|Type=non_AVP|Source=UniProt|Length=35|Dataset=TS_non_AVP,non-AVP,0.025
ID=sp|P86306||Label=0|Type=non_AVP|Source=UniProt|Length=12|Dataset=TS_non_AVP,AVP,0.545
ID=sp|C0HM70||Label=0|Type=non_AVP|Source=UniProt|Length=41|Dataset=TS_non_AVP,non-AVP,0.400
ID=sp|P86602||Label=0|Type=non_AVP|Source=UniProt|Length=9|Dataset=TS_non_AVP,non-AVP,0.455
ID=sp|C0HKX6||Label=0|Type=non_AVP|Source=UniProt|Length=17|Dataset=TS_non_AVP,AVP,0.990
ID=sp|Q112P6||Label=0|Type=non_AVP|Source=UniProt|Length=43|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|P08945||Label=0|Type=non_AVP|Source=UniProt|Length=9|Dataset=TS_non_AVP,AVP,0.990
ID=sp|B3EWT2||Label=0|Type=non_AVP|Source=UniProt|Length=40|Dataset=TS_non_AVP,AVP,0.975
ID=sp|P0CD68||Label=0|Type=non_AVP|Source=UniProt|Length=19|Dataset=TS_non_AVP,AVP,0.890
ID=DRAVPe01934|Label=1|Type=AVP|Source=DRAVP|Length=19|Dataset=TS_AVP,non-AVP,0.225
ID=sp|P0DX63||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,AVP,0.710
ID=sp|Q3A6R1||Label=0|Type=non_AVP|Source=UniProt|Length=49|Dataset=TS_non_AVP,non-AVP,0.035
ID=sp|P82445||Label=0|Type=non_AVP|Source=UniProt|Length=7|Dataset=TS_non_AVP,AVP,0.965
ID=sp|A8LYF8||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,non-AVP,0.030
ID=sp|Q9PSF9||Label=0|Type=non_AVP|Source=UniProt|Length=39|Dataset=TS_non_AVP,non-AVP,0.270
ID=sp|Q06R98||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|C0HLC6||Label=0|Type=non_AVP|Source=UniProt|Length=28|Dataset=TS_non_AVP,AVP,0.995
ID=sp|Q8D3I7||Label=0|Type=non_AVP|Source=UniProt|Length=47|Dataset=TS_non_AVP,non-AVP,0.060
ID=sp|P11860||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,AVP,0.640
ID=sp|P85995||Label=0|Type=non_AVP|Source=UniProt|Length=15|Dataset=TS_non_AVP,non-AVP,0.080
ID=sp|P85043||Label=0|Type=non_AVP|Source=UniProt|Length=9|Dataset=TS_non_AVP,AVP,0.985
ID=sp|O83936||Label=0|Type=non_AVP|Source=UniProt|Length=38|Dataset=TS_non_AVP,non-AVP,0.040
ID=sp|B3CPU0||Label=0|Type=non_AVP|Source=UniProt|Length=42|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|P95694||Label=0|Type=non_AVP|Source=UniProt|Length=24|Dataset=TS_non_AVP,non-AVP,0.050
ID=sp|B1W3Y3||Label=0|Type=non_AVP|Source=UniProt|Length=37|Dataset=TS_non_AVP,non-AVP,0.005
ID=sp|D4YWD1||Label=0|Type=non_AVP|Source=UniProt|Length=45|Dataset=TS_non_AVP,AVP,0.560
ID=sp|Q97CV7||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.010
ID=sp|Q602M9||Label=0|Type=non_AVP|Source=UniProt|Length=44|Dataset=TS_non_AVP,non-AVP,0.015
ID=sp|P83382||Label=0|Type=non_AVP|Source=UniProt|Length=10|Dataset=TS_non_AVP,non-AVP,0.290
